,box,angry,disgust,fear,happy,sad,surprise,neutral
80,[330 254  77  77],0.11,0.0,0.08,0.1,0.06,0.04,0.61
81,[330 254  77  77],0.11,0.0,0.08,0.1,0.05,0.04,0.61
82,[330 255  77  77],0.06,0.0,0.03,0.25,0.05,0.08,0.52
83,[330 255  76  76],0.09,0.0,0.06,0.11,0.04,0.04,0.66
84,[330 255  76  76],0.08,0.0,0.06,0.09,0.04,0.02,0.71
85,[331 256  75  75],0.06,0.0,0.04,0.11,0.03,0.08,0.68
86,[330 256  76  76],0.06,0.0,0.02,0.29,0.03,0.06,0.53
87,[330 256  76  76],0.08,0.0,0.04,0.17,0.05,0.03,0.63
88,[331 257  76  76],0.09,0.0,0.02,0.14,0.05,0.02,0.69
89,[332 261  74  74],0.12,0.0,0.03,0.16,0.09,0.02,0.58
90,[109 139 150 150],0.22,0.01,0.12,0.02,0.58,0.01,0.05
91,[108 139 150 150],0.21,0.01,0.11,0.02,0.57,0.01,0.07
92,[108 139 150 150],0.21,0.01,0.11,0.02,0.57,0.01,0.07
93,[108 139 150 150],0.21,0.01,0.11,0.02,0.57,0.01,0.07
94,[ 96 133 145 145],0.25,0.0,0.11,0.02,0.53,0.03,0.06
95,[ 96 134 143 143],0.2,0.0,0.07,0.07,0.51,0.06,0.09
96,[ 95 134 148 148],0.16,0.0,0.12,0.02,0.61,0.04,0.05
97,[ 93 135 148 148],0.2,0.0,0.15,0.08,0.43,0.02,0.13
98,[ 89 137 155 155],0.12,0.0,0.07,0.19,0.44,0.04,0.13
99,[ 91 147 139 139],0.08,0.0,0.07,0.1,0.51,0.01,0.23
100,[ 87 148 141 141],0.08,0.0,0.04,0.41,0.33,0.08,0.05
101,[ 84 147 154 154],0.13,0.0,0.05,0.19,0.5,0.1,0.02
102,[ 86 146 152 152],0.08,0.0,0.07,0.21,0.43,0.1,0.11
103,[ 92 151 147 147],0.16,0.03,0.09,0.0,0.49,0.05,0.19
104,[ 94 150 153 153],0.17,0.06,0.16,0.0,0.5,0.06,0.06
105,[ 99 154 140 140],0.16,0.02,0.08,0.0,0.51,0.06,0.18
106,[ 99 149 145 145],0.18,0.05,0.13,0.0,0.42,0.11,0.11
107,[106 145 154 154],0.09,0.04,0.25,0.0,0.28,0.32,0.03
108,[116 150 134 134],0.47,0.13,0.11,0.0,0.22,0.05,0.02
109,[120 148 138 138],0.33,0.1,0.25,0.0,0.19,0.1,0.03
110,[126 150 135 135],0.4,0.04,0.29,0.0,0.19,0.04,0.03
111,[136 148 125 125],0.19,0.07,0.33,0.0,0.32,0.03,0.06
112,[135 144 136 136],0.19,0.02,0.35,0.0,0.32,0.02,0.11
113,[140 142 141 141],0.18,0.03,0.41,0.0,0.19,0.03,0.16
114,[140 145 136 136],0.2,0.01,0.49,0.0,0.13,0.03,0.12
115,[145 142 134 134],0.25,0.01,0.52,0.0,0.14,0.01,0.08
116,[150 142 132 132],0.21,0.0,0.43,0.0,0.23,0.01,0.12
117,[173 140 113 113],0.06,0.03,0.34,0.0,0.45,0.02,0.1
118,[165 134 132 132],0.03,0.0,0.73,0.0,0.11,0.01,0.12
119,[178 137 123 123],0.18,0.01,0.56,0.0,0.13,0.04,0.07
120,[178 137 123 123],0.19,0.01,0.56,0.0,0.13,0.04,0.07
121,[207 144 123 123],0.09,0.0,0.27,0.0,0.51,0.0,0.13
122,[197 139 129 129],0.22,0.0,0.18,0.0,0.45,0.0,0.14
123,[191 139 128 128],0.24,0.0,0.19,0.02,0.28,0.0,0.26
124,[181 137 128 128],0.23,0.0,0.15,0.02,0.47,0.01,0.12
125,[273 102  89  89],0.41,0.02,0.05,0.14,0.12,0.01,0.26
126,[172 135 135 135],0.25,0.0,0.42,0.01,0.2,0.03,0.08
127,[155 131 144 144],0.4,0.0,0.34,0.0,0.12,0.09,0.04
128,[143 129 151 151],0.47,0.0,0.24,0.03,0.08,0.15,0.04
129,[142 128 152 152],0.34,0.0,0.23,0.03,0.14,0.18,0.08
130,[140 129 151 151],0.32,0.0,0.17,0.03,0.09,0.3,0.08
131,[138 129 150 150],0.28,0.0,0.14,0.07,0.18,0.13,0.2
132,[135 130 147 147],0.44,0.0,0.13,0.02,0.21,0.04,0.17
133,[133 130 145 145],0.52,0.0,0.15,0.01,0.13,0.07,0.12
134,[128 129 149 149],0.43,0.0,0.15,0.03,0.15,0.07,0.17
135,[127 130 146 146],0.46,0.0,0.17,0.02,0.16,0.07,0.12
136,[127 130 146 146],0.46,0.0,0.16,0.02,0.16,0.07,0.13
137,[122 130 145 145],0.52,0.0,0.14,0.02,0.19,0.04,0.1
138,[119 130 146 146],0.59,0.0,0.12,0.02,0.16,0.05,0.07
139,[116 129 151 151],0.57,0.0,0.13,0.01,0.14,0.1,0.04
140,[115 131 144 144],0.71,0.0,0.08,0.0,0.07,0.05,0.08
141,[114 131 145 145],0.58,0.02,0.1,0.0,0.15,0.04,0.11
142,[104 128 151 151],0.46,0.01,0.15,0.0,0.11,0.17,0.11
143,[104 128 151 151],0.46,0.01,0.14,0.0,0.11,0.17,0.11
144,[102 126 152 152],0.32,0.01,0.2,0.0,0.32,0.03,0.11
145,[ 97 127 147 147],0.55,0.01,0.13,0.0,0.24,0.02,0.05
146,[ 86 126 149 149],0.51,0.0,0.1,0.0,0.24,0.08,0.06
147,[ 69 129 142 142],0.32,0.0,0.13,0.01,0.29,0.07,0.19
148,[ 57 129 160 160],0.44,0.0,0.2,0.01,0.26,0.02,0.07
149,[ 16 136 164 164],0.31,0.01,0.19,0.0,0.18,0.26,0.04
150,[ 17 137 157 157],0.21,0.0,0.1,0.01,0.32,0.26,0.1
151,[ 12 135 155 155],0.13,0.0,0.05,0.01,0.11,0.59,0.1
152,[  8 140 147 147],0.12,0.0,0.05,0.01,0.17,0.45,0.2
153,[  8 140 147 147],0.11,0.0,0.05,0.01,0.17,0.46,0.2
154,[  6 151 167 167],0.07,0.0,0.06,0.1,0.56,0.02,0.19
155,[  8 149 167 167],0.06,0.0,0.1,0.04,0.7,0.01,0.09
156,[ 19 140 164 164],0.18,0.0,0.07,0.14,0.34,0.14,0.12
157,[ 25 139 165 165],0.18,0.0,0.1,0.09,0.34,0.13,0.17
158,[ 27 134 170 170],0.18,0.0,0.09,0.12,0.22,0.24,0.14
159,[ 26 134 171 171],0.2,0.0,0.11,0.08,0.21,0.29,0.11
160,[ 39 131 171 171],0.32,0.0,0.11,0.03,0.22,0.11,0.21
161,[ 47 131 167 167],0.26,0.0,0.12,0.04,0.17,0.09,0.32
162,[ 51 131 167 167],0.32,0.0,0.13,0.03,0.19,0.11,0.22
163,[ 58 125 171 171],0.23,0.0,0.16,0.06,0.08,0.45,0.02
164,[ 65 124 170 170],0.19,0.0,0.14,0.1,0.09,0.46,0.03
165,[ 62 123 174 174],0.24,0.0,0.18,0.05,0.1,0.4,0.02
166,[ 76 124 172 172],0.13,0.0,0.08,0.14,0.11,0.1,0.44
167,[ 77 125 170 170],0.14,0.0,0.07,0.14,0.09,0.09,0.47
168,[ 84 129 171 171],0.08,0.0,0.13,0.14,0.14,0.19,0.33
169,[ 89 133 164 164],0.12,0.0,0.16,0.17,0.16,0.19,0.21
170,[ 87 132 176 176],0.15,0.0,0.09,0.12,0.2,0.13,0.31
171,[ 94 138 166 166],0.2,0.0,0.15,0.06,0.41,0.01,0.17
172,[103 142 165 165],0.14,0.0,0.09,0.02,0.58,0.01,0.17
173,[106 143 169 169],0.14,0.0,0.07,0.01,0.55,0.0,0.23
174,[108 143 171 171],0.13,0.0,0.08,0.02,0.56,0.0,0.2
175,[106 142 173 173],0.11,0.0,0.09,0.05,0.47,0.01,0.28
176,[279 102  83  83],0.55,0.0,0.06,0.0,0.18,0.0,0.2
177,[117 137 185 185],0.15,0.02,0.18,0.07,0.32,0.01,0.26
178,[108 123 211 211],0.21,0.16,0.17,0.17,0.19,0.01,0.08
179,[ 88  98 263 263],0.28,0.22,0.14,0.04,0.26,0.01,0.06
180,[ 58  61 339 339],0.2,0.18,0.26,0.11,0.18,0.02,0.06
181,[198 160  94  94],0.07,0.0,0.37,0.03,0.35,0.04,0.13
182,[197 150 110 110],0.06,0.0,0.57,0.01,0.17,0.03,0.15
183,[ 89 258  52  52],0.52,0.0,0.11,0.1,0.2,0.02,0.05
184,[197 144 124 124],0.09,0.0,0.47,0.02,0.2,0.03,0.18
185,[ 83 262  55  55],0.29,0.0,0.07,0.23,0.32,0.03,0.06
186,[ 80 264  54  54],0.48,0.0,0.11,0.18,0.18,0.02,0.03
187,[ 78 263  56  56],0.45,0.01,0.14,0.12,0.2,0.03,0.06
188,[ 77 264  55  55],0.45,0.01,0.13,0.11,0.22,0.02,0.05
189,[ 77 263  57  57],0.35,0.0,0.08,0.2,0.25,0.04,0.08
190,[ 76 263  58  58],0.37,0.0,0.05,0.21,0.28,0.02,0.06
191,[ 76 263  58  58],0.38,0.0,0.06,0.2,0.28,0.02,0.06
192,[ 76 264  57  57],0.46,0.0,0.06,0.16,0.24,0.02,0.06
193,[ 76 264  57  57],0.32,0.0,0.07,0.19,0.3,0.03,0.09
194,[ 76 264  57  57],0.32,0.0,0.07,0.19,0.3,0.03,0.09
195,[ 76 264  57  57],0.32,0.0,0.07,0.19,0.3,0.03,0.09
196,[ 76 264  57  57],0.32,0.0,0.07,0.19,0.3,0.03,0.09
197,[ 76 264  57  57],0.32,0.0,0.07,0.19,0.3,0.03,0.09
198,[ 75 264  57  57],0.47,0.0,0.06,0.13,0.24,0.02,0.08
199,[ 75 264  57  57],0.47,0.0,0.06,0.13,0.24,0.02,0.08
200,[ 75 264  57  57],0.47,0.0,0.06,0.13,0.24,0.02,0.08
201,[320 167  85  85],0.09,0.0,0.61,0.02,0.11,0.07,0.09
202,[320 167  85  85],0.09,0.0,0.62,0.02,0.12,0.06,0.09
203,[321 168  84  84],0.09,0.01,0.59,0.02,0.12,0.09,0.09
204,[321 168  84  84],0.08,0.01,0.59,0.02,0.12,0.09,0.09
205,[321 168  84  84],0.08,0.01,0.59,0.02,0.12,0.09,0.09
206,[322 168  82  82],0.11,0.01,0.46,0.02,0.16,0.04,0.19
207,[321 168  84  84],0.18,0.0,0.37,0.03,0.22,0.04,0.15
208,[321 167  83  83],0.11,0.0,0.49,0.02,0.15,0.06,0.16
209,[322 167  83  83],0.21,0.01,0.48,0.02,0.12,0.06,0.1
210,[321 167  84  84],0.14,0.01,0.56,0.02,0.11,0.09,0.07
211,[321 167  84  84],0.16,0.0,0.55,0.03,0.1,0.1,0.07
212,[324 167  82  82],0.23,0.01,0.45,0.01,0.16,0.05,0.08
213,[324 169  81  81],0.09,0.0,0.72,0.01,0.09,0.05,0.04
214,[323 168  83  83],0.14,0.0,0.64,0.02,0.06,0.09,0.04
215,[324 168  83  83],0.14,0.01,0.68,0.01,0.05,0.08,0.04
216,[323 168  84  84],0.13,0.01,0.66,0.02,0.09,0.04,0.06
217,[323 168  85  85],0.13,0.01,0.69,0.01,0.08,0.04,0.04
218,[325 168  84  84],0.22,0.01,0.62,0.01,0.05,0.07,0.03
219,[325 168  84  84],0.21,0.01,0.62,0.01,0.05,0.08,0.03
220,[325 168  82  82],0.26,0.01,0.56,0.0,0.06,0.06,0.04
221,[325 168  82  82],0.27,0.01,0.55,0.0,0.06,0.06,0.04
