,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[ 71 116 145 145],0.34,0.0,0.21,0.0,0.23,0.02,0.19
1,[ 69 113 150 150],0.35,0.0,0.15,0.01,0.24,0.02,0.24
2,[ 71 115 145 145],0.31,0.0,0.2,0.01,0.19,0.03,0.26
3,[ 72 116 143 143],0.37,0.0,0.12,0.01,0.16,0.04,0.3
4,[ 68 112 147 147],0.21,0.0,0.11,0.01,0.13,0.02,0.52
5,[ 66 109 149 149],0.23,0.0,0.09,0.01,0.13,0.03,0.5
6,[ 68 112 142 142],0.2,0.0,0.16,0.01,0.2,0.11,0.32
7,[ 63 109 149 149],0.2,0.0,0.06,0.01,0.14,0.04,0.55
8,[ 62 108 151 151],0.17,0.0,0.08,0.01,0.18,0.05,0.51
9,[ 65 109 147 147],0.26,0.0,0.06,0.01,0.07,0.03,0.58
10,[ 64 109 146 146],0.18,0.0,0.06,0.01,0.13,0.05,0.57
11,[ 66 108 143 143],0.2,0.0,0.17,0.01,0.19,0.1,0.32
12,[ 63 106 146 146],0.2,0.0,0.18,0.01,0.23,0.04,0.34
13,[ 62 106 147 147],0.15,0.0,0.07,0.01,0.17,0.04,0.57
14,[ 63 105 146 146],0.28,0.0,0.11,0.01,0.2,0.03,0.36
15,[ 62 106 147 147],0.14,0.0,0.04,0.02,0.2,0.01,0.58
16,[ 61 105 147 147],0.18,0.0,0.12,0.01,0.22,0.04,0.43
17,[ 62 107 145 145],0.19,0.0,0.09,0.01,0.25,0.04,0.43
18,[ 64 107 144 144],0.16,0.0,0.15,0.02,0.21,0.06,0.39
19,[ 63 108 144 144],0.21,0.0,0.15,0.01,0.28,0.05,0.31
20,[ 62 106 149 149],0.2,0.0,0.07,0.01,0.25,0.01,0.45
21,[ 61 107 149 149],0.24,0.0,0.07,0.01,0.13,0.04,0.5
22,[ 60 106 153 153],0.17,0.0,0.04,0.01,0.2,0.01,0.58
23,[ 63 108 149 149],0.24,0.0,0.05,0.01,0.14,0.03,0.52
24,[ 63 112 144 144],0.18,0.0,0.13,0.01,0.25,0.06,0.37
25,[ 63 112 144 144],0.16,0.0,0.16,0.01,0.18,0.08,0.41
26,[ 64 112 145 145],0.2,0.0,0.23,0.01,0.15,0.1,0.3
27,[ 65 114 142 142],0.13,0.0,0.39,0.01,0.13,0.13,0.2
28,[ 63 113 146 146],0.14,0.01,0.25,0.01,0.15,0.24,0.2
29,[142 333  60  60],0.14,0.01,0.34,0.04,0.3,0.1,0.08
30,[ 63 113 146 146],0.16,0.09,0.39,0.01,0.18,0.13,0.05
31,[146 340  52  52],0.19,0.01,0.19,0.03,0.26,0.18,0.15
32,[ 64 118 143 143],0.19,0.01,0.42,0.01,0.15,0.18,0.04
33,[ 60 115 146 146],0.22,0.04,0.38,0.0,0.15,0.17,0.04
34,[ 58 115 150 150],0.26,0.02,0.44,0.0,0.14,0.08,0.05
35,[ 58 115 150 150],0.25,0.01,0.46,0.0,0.13,0.11,0.03
36,[ 57 116 148 148],0.32,0.03,0.37,0.0,0.15,0.11,0.02
37,[ 55 116 148 148],0.34,0.02,0.36,0.0,0.19,0.06,0.02
38,[ 55 117 146 146],0.35,0.01,0.42,0.0,0.12,0.09,0.01
39,[ 52 115 151 151],0.28,0.02,0.34,0.0,0.22,0.1,0.04
40,[ 51 114 152 152],0.26,0.04,0.31,0.0,0.26,0.08,0.05
41,[ 54 117 145 145],0.22,0.02,0.31,0.0,0.27,0.14,0.04
42,[ 52 118 147 147],0.27,0.01,0.4,0.0,0.18,0.1,0.04
43,[ 49 116 150 150],0.3,0.0,0.37,0.0,0.23,0.07,0.02
44,[ 52 120 144 144],0.24,0.0,0.41,0.0,0.28,0.03,0.03
45,[137 342  56  56],0.13,0.0,0.23,0.03,0.35,0.05,0.2
46,[ 53 121 143 143],0.35,0.0,0.43,0.0,0.12,0.08,0.02
47,[ 56 122 140 140],0.42,0.02,0.34,0.0,0.08,0.13,0.01
48,[137 346  55  55],0.17,0.0,0.23,0.04,0.24,0.1,0.22
49,[ 53 121 146 146],0.37,0.01,0.29,0.0,0.08,0.23,0.02
50,[139 348  56  56],0.16,0.0,0.28,0.02,0.27,0.15,0.12
51,[140 349  54  54],0.2,0.01,0.23,0.01,0.23,0.2,0.12
52,[ 53 122 147 147],0.34,0.07,0.25,0.01,0.08,0.22,0.04
53,[138 349  55  55],0.13,0.01,0.2,0.02,0.44,0.06,0.14
54,[138 349  54  54],0.15,0.01,0.18,0.02,0.42,0.07,0.14
55,[ 51 126 146 146],0.3,0.01,0.24,0.03,0.17,0.12,0.13
56,[137 351  54  54],0.16,0.01,0.19,0.02,0.25,0.18,0.18
57,[ 51 125 144 144],0.23,0.06,0.51,0.0,0.02,0.16,0.01
58,[134 349  58  58],0.15,0.01,0.32,0.01,0.27,0.16,0.09
59,[134 348  57  57],0.18,0.01,0.32,0.01,0.29,0.09,0.11
60,[ 42 126 151 151],0.17,0.01,0.32,0.01,0.07,0.27,0.14
61,[ 41 128 145 145],0.25,0.0,0.22,0.01,0.05,0.32,0.14
62,[ 40 129 143 143],0.2,0.01,0.23,0.0,0.06,0.43,0.07
63,[ 40 128 144 144],0.08,0.03,0.27,0.0,0.05,0.55,0.02
64,[ 43 127 141 141],0.18,0.07,0.22,0.01,0.2,0.25,0.07
65,[ 43 126 142 142],0.21,0.02,0.27,0.0,0.2,0.24,0.06
66,[ 42 126 144 144],0.26,0.01,0.21,0.01,0.28,0.14,0.09
67,[ 42 126 144 144],0.33,0.01,0.09,0.01,0.31,0.07,0.18
68,[ 45 125 145 145],0.18,0.02,0.22,0.03,0.27,0.21,0.09
69,[ 45 124 145 145],0.3,0.0,0.18,0.04,0.13,0.23,0.12
70,[ 43 122 150 150],0.35,0.01,0.18,0.03,0.11,0.15,0.17
71,[ 44 121 148 148],0.45,0.01,0.13,0.02,0.11,0.12,0.16
72,[ 43 121 150 150],0.53,0.07,0.16,0.01,0.12,0.09,0.03
73,[ 41 121 150 150],0.61,0.07,0.12,0.0,0.1,0.06,0.03
74,[ 40 119 151 151],0.64,0.01,0.16,0.0,0.06,0.1,0.02
