,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[ 61 116 138 138],0.34,0.0,0.13,0.23,0.08,0.01,0.22
1,[ 61 117 136 136],0.19,0.0,0.07,0.17,0.11,0.01,0.44
2,[ 60 115 137 137],0.31,0.0,0.1,0.23,0.1,0.02,0.24
3,[ 61 116 136 136],0.31,0.0,0.12,0.21,0.1,0.01,0.24
4,[ 58 114 139 139],0.29,0.0,0.18,0.26,0.07,0.02,0.18
5,[ 54 111 145 145],0.34,0.0,0.09,0.25,0.1,0.01,0.21
6,[ 58 118 134 134],0.24,0.0,0.1,0.06,0.19,0.0,0.4
7,[ 56 117 136 136],0.28,0.0,0.15,0.15,0.14,0.01,0.27
8,[ 55 114 141 141],0.26,0.0,0.14,0.18,0.09,0.01,0.32
9,[ 55 120 136 136],0.31,0.01,0.17,0.09,0.22,0.01,0.2
10,[ 58 122 133 133],0.21,0.0,0.14,0.15,0.17,0.01,0.33
11,[ 56 121 136 136],0.19,0.0,0.12,0.34,0.09,0.01,0.25
12,[ 57 122 134 134],0.21,0.0,0.14,0.16,0.2,0.01,0.28
13,[ 55 116 138 138],0.24,0.0,0.24,0.16,0.09,0.05,0.21
14,[ 54 117 137 137],0.32,0.0,0.33,0.1,0.08,0.04,0.12
15,[ 58 119 135 135],0.29,0.0,0.18,0.12,0.12,0.03,0.27
16,[ 61 120 133 133],0.33,0.0,0.14,0.07,0.08,0.02,0.37
17,[ 61 119 135 135],0.4,0.01,0.14,0.13,0.09,0.02,0.22
18,[ 61 117 136 136],0.2,0.0,0.18,0.19,0.08,0.11,0.23
19,[ 61 117 136 136],0.21,0.0,0.18,0.19,0.09,0.1,0.24
20,[ 60 117 136 136],0.25,0.0,0.13,0.15,0.13,0.03,0.3
21,[ 62 118 137 137],0.26,0.0,0.22,0.07,0.09,0.02,0.33
22,[ 61 117 139 139],0.27,0.0,0.25,0.1,0.11,0.01,0.26
23,[ 62 119 137 137],0.2,0.0,0.16,0.17,0.12,0.02,0.33
24,[ 64 121 133 133],0.27,0.0,0.15,0.08,0.19,0.01,0.29
25,[ 63 119 136 136],0.17,0.0,0.16,0.15,0.14,0.03,0.35
26,[ 63 119 136 136],0.16,0.0,0.15,0.17,0.14,0.03,0.35
27,[ 63 121 135 135],0.34,0.0,0.12,0.1,0.14,0.02,0.27
28,[ 63 121 135 135],0.34,0.0,0.13,0.1,0.14,0.02,0.27
29,[ 65 120 135 135],0.15,0.0,0.14,0.17,0.15,0.07,0.32
30,[ 63 119 135 135],0.12,0.0,0.09,0.18,0.15,0.06,0.39
31,[ 66 121 133 133],0.26,0.0,0.08,0.13,0.11,0.04,0.37
32,[ 66 123 131 131],0.25,0.0,0.14,0.07,0.19,0.02,0.33
33,[ 63 118 136 136],0.23,0.0,0.14,0.13,0.09,0.1,0.31
34,[ 65 120 135 135],0.19,0.0,0.15,0.12,0.12,0.09,0.32
35,[ 61 115 140 140],0.31,0.0,0.11,0.08,0.07,0.09,0.35
36,[ 61 118 136 136],0.15,0.0,0.16,0.13,0.17,0.05,0.34
37,[ 61 117 136 136],0.17,0.0,0.16,0.08,0.19,0.1,0.29
38,[ 62 119 132 132],0.32,0.01,0.27,0.04,0.11,0.05,0.2
39,[ 62 117 134 134],0.24,0.0,0.3,0.03,0.16,0.11,0.17
40,[ 64 120 132 132],0.58,0.0,0.13,0.06,0.07,0.05,0.11
41,[ 63 118 137 137],0.43,0.0,0.18,0.05,0.15,0.02,0.17
42,[ 62 118 138 138],0.35,0.0,0.1,0.08,0.3,0.01,0.17
43,[ 64 118 136 136],0.54,0.0,0.14,0.05,0.15,0.01,0.1
44,[ 60 113 143 143],0.28,0.0,0.12,0.34,0.08,0.01,0.15
45,[ 61 116 139 139],0.39,0.0,0.16,0.1,0.19,0.03,0.14
46,[ 61 116 138 138],0.34,0.0,0.19,0.1,0.18,0.04,0.16
47,[ 64 118 135 135],0.5,0.0,0.13,0.04,0.15,0.04,0.13
48,[ 63 117 138 138],0.53,0.01,0.16,0.06,0.13,0.02,0.08
49,[ 60 114 142 142],0.53,0.0,0.17,0.02,0.16,0.03,0.09
50,[ 60 114 142 142],0.46,0.0,0.23,0.02,0.17,0.03,0.09
51,[ 64 118 134 134],0.28,0.0,0.2,0.05,0.23,0.06,0.18
52,[ 62 116 138 138],0.49,0.0,0.11,0.07,0.24,0.01,0.08
53,[ 66 120 133 133],0.39,0.01,0.1,0.06,0.3,0.01,0.13
54,[ 64 117 136 136],0.39,0.0,0.12,0.06,0.27,0.06,0.11
55,[ 62 116 139 139],0.33,0.0,0.16,0.03,0.34,0.02,0.12
56,[ 62 114 140 140],0.41,0.0,0.3,0.06,0.12,0.04,0.06
57,[ 61 114 142 142],0.39,0.0,0.23,0.02,0.21,0.05,0.09
58,[ 57 111 150 150],0.5,0.02,0.13,0.07,0.17,0.04,0.06
59,[ 57 111 148 148],0.51,0.0,0.24,0.03,0.12,0.05,0.05
60,[ 56 110 149 149],0.41,0.0,0.26,0.04,0.15,0.04,0.1
61,[ 58 111 145 145],0.45,0.0,0.2,0.04,0.18,0.03,0.1
