,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
1,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
2,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
3,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
4,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
5,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
6,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
7,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
8,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
9,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
10,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
11,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
12,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
13,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
14,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
15,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
16,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
17,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
18,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
19,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
20,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
21,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
22,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
23,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
24,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
25,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
26,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
27,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
28,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
29,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
30,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
31,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
32,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
33,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
34,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
35,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
36,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
37,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
38,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
39,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
40,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
41,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
42,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
43,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
44,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
45,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
46,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
47,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
48,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
49,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
50,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
51,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
52,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
53,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
54,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
55,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
56,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
57,[234  85 144 144],0.33,0.03,0.2,0.03,0.16,0.05,0.19
58,[234  85 144 144],0.33,0.03,0.2,0.04,0.16,0.05,0.19
59,[234  85 144 144],0.33,0.03,0.2,0.04,0.16,0.05,0.19
60,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
61,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
62,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
63,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
64,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
65,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
66,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
67,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
68,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
69,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
70,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
71,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
72,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
73,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
74,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
75,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
76,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
77,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
78,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
79,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
80,[234  86 142 142],0.3,0.08,0.19,0.08,0.2,0.02,0.13
