,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[35 69 88 88],0.59,0.0,0.09,0.0,0.1,0.01,0.21
1,[35 70 88 88],0.62,0.0,0.07,0.0,0.09,0.01,0.2
2,[35 71 88 88],0.61,0.0,0.1,0.0,0.08,0.01,0.2
3,[35 72 87 87],0.57,0.0,0.1,0.0,0.09,0.01,0.23
4,[36 71 86 86],0.65,0.0,0.08,0.0,0.08,0.01,0.19
5,[35 70 88 88],0.61,0.0,0.07,0.0,0.07,0.01,0.23
6,[35 69 87 87],0.62,0.0,0.07,0.0,0.07,0.01,0.22
7,[34 68 89 89],0.61,0.0,0.05,0.0,0.09,0.01,0.24
8,[34 70 87 87],0.58,0.0,0.11,0.0,0.08,0.02,0.21
9,[33 68 88 88],0.67,0.0,0.07,0.0,0.09,0.01,0.17
10,[34 71 86 86],0.53,0.0,0.09,0.0,0.09,0.01,0.29
11,[33 68 88 88],0.64,0.0,0.08,0.0,0.07,0.01,0.21
12,[32 68 89 89],0.62,0.0,0.09,0.0,0.08,0.0,0.2
13,[32 68 88 88],0.27,0.0,0.37,0.0,0.21,0.01,0.14
14,[31 67 90 90],0.28,0.0,0.34,0.0,0.2,0.01,0.18
15,[31 68 89 89],0.45,0.0,0.24,0.0,0.15,0.01,0.15
16,[32 68 88 88],0.68,0.0,0.12,0.0,0.07,0.01,0.12
17,[31 68 88 88],0.53,0.0,0.18,0.0,0.11,0.01,0.16
18,[32 67 89 89],0.63,0.0,0.19,0.0,0.08,0.01,0.08
19,[34 68 86 86],0.54,0.0,0.16,0.0,0.06,0.01,0.23
20,[32 67 89 89],0.64,0.0,0.18,0.0,0.08,0.01,0.08
21,[32 67 88 88],0.49,0.0,0.31,0.0,0.09,0.01,0.09
22,[31 67 89 89],0.39,0.0,0.43,0.0,0.09,0.02,0.06
23,[32 67 87 87],0.59,0.0,0.18,0.0,0.11,0.03,0.09
24,[32 67 88 88],0.58,0.0,0.24,0.0,0.08,0.02,0.08
25,[30 66 91 91],0.44,0.0,0.34,0.0,0.1,0.06,0.05
26,[29 66 92 92],0.46,0.0,0.28,0.01,0.12,0.09,0.04
27,[31 66 91 91],0.42,0.0,0.28,0.01,0.13,0.1,0.06
28,[31 66 91 91],0.38,0.0,0.35,0.0,0.13,0.08,0.05
29,[31 66 90 90],0.38,0.0,0.25,0.0,0.2,0.12,0.06
30,[31 67 90 90],0.36,0.0,0.34,0.0,0.15,0.1,0.05
31,[31 67 90 90],0.36,0.0,0.29,0.0,0.17,0.11,0.07
32,[33 68 88 88],0.46,0.0,0.25,0.0,0.17,0.06,0.05
33,[31 67 92 92],0.37,0.0,0.34,0.0,0.15,0.08,0.06
34,[33 68 89 89],0.4,0.0,0.36,0.0,0.14,0.06,0.05
35,[33 67 90 90],0.49,0.0,0.22,0.0,0.16,0.07,0.06
36,[34 69 89 89],0.34,0.0,0.41,0.0,0.13,0.06,0.06
37,[33 68 89 89],0.44,0.0,0.21,0.0,0.22,0.05,0.08
38,[33 69 89 89],0.32,0.0,0.36,0.0,0.18,0.06,0.07
39,[33 69 89 89],0.36,0.0,0.36,0.0,0.16,0.06,0.06
