,box,angry,disgust,fear,happy,sad,surprise,neutral
1251,[279  31  58  58],0.13,0.0,0.03,0.45,0.09,0.0,0.29
1252,[280  31  57  57],0.02,0.0,0.02,0.68,0.02,0.01,0.25
1253,[279  31  59  59],0.04,0.0,0.03,0.71,0.05,0.01,0.16
1254,[279  31  61  61],0.01,0.0,0.0,0.88,0.01,0.0,0.1
1255,[279  32  60  60],0.02,0.0,0.0,0.85,0.01,0.0,0.11
1256,[277  31  61  61],0.03,0.0,0.0,0.89,0.01,0.0,0.06
1257,[278  32  59  59],0.01,0.0,0.0,0.93,0.01,0.0,0.04
1258,[279  32  59  59],0.01,0.0,0.0,0.91,0.01,0.0,0.07
1259,[277  30  61  61],0.02,0.0,0.01,0.84,0.02,0.0,0.1
1260,[279  29  62  62],0.07,0.0,0.01,0.3,0.04,0.0,0.57
1261,[277  31  59  59],0.18,0.0,0.04,0.23,0.15,0.0,0.4
1262,[280  30  56  56],0.22,0.0,0.03,0.1,0.08,0.0,0.57
1263,[282  30  57  57],0.04,0.0,0.01,0.68,0.02,0.0,0.25
1264,[282  30  57  57],0.01,0.0,0.0,0.83,0.01,0.0,0.14
1265,[282  32  57  57],0.02,0.0,0.01,0.83,0.02,0.01,0.12
1266,[282  32  57  57],0.02,0.0,0.01,0.83,0.02,0.01,0.12
1267,[280  34  59  59],0.08,0.0,0.0,0.76,0.05,0.0,0.11
1268,[279  34  59  59],0.27,0.0,0.01,0.19,0.18,0.02,0.34
1269,[278  35  60  60],0.19,0.0,0.02,0.51,0.08,0.04,0.15
1270,[280  36  57  57],0.03,0.0,0.01,0.8,0.03,0.0,0.14
1271,[280  32  61  61],0.07,0.0,0.01,0.69,0.03,0.0,0.21
1272,[280  32  62  62],0.08,0.0,0.0,0.76,0.01,0.0,0.14
1273,[279  32  61  61],0.03,0.0,0.01,0.86,0.02,0.0,0.09
1274,[280  32  58  58],0.0,0.0,0.0,0.96,0.0,0.0,0.03
1275,[278  30  60  60],0.02,0.0,0.02,0.69,0.04,0.0,0.23
1276,[278  30  58  58],0.04,0.0,0.0,0.68,0.04,0.01,0.23
1277,[281  28  56  56],0.04,0.0,0.02,0.43,0.07,0.01,0.42
1278,[281  27  57  57],0.05,0.0,0.02,0.44,0.06,0.01,0.41
1279,[282  26  57  57],0.08,0.0,0.04,0.2,0.09,0.01,0.58
1280,[282  26  56  56],0.1,0.0,0.05,0.29,0.14,0.02,0.41
1281,[281  25  57  57],0.06,0.0,0.02,0.4,0.05,0.01,0.46
1282,[282  25  57  57],0.08,0.0,0.03,0.35,0.05,0.02,0.46
1283,[281  26  57  57],0.05,0.0,0.02,0.52,0.04,0.02,0.35
1284,[281  25  57  57],0.09,0.0,0.03,0.17,0.13,0.04,0.53
1285,[280  24  58  58],0.12,0.0,0.02,0.21,0.09,0.04,0.52
1286,[253  41  54  54],0.01,0.0,0.01,0.9,0.02,0.0,0.06
1287,[254  40  54  54],0.01,0.01,0.01,0.79,0.05,0.0,0.13
1288,[254  40  54  54],0.01,0.01,0.01,0.79,0.05,0.0,0.13
1289,[254  41  54  54],0.0,0.0,0.01,0.94,0.02,0.0,0.03
1290,[284  25  58  58],0.05,0.0,0.03,0.13,0.14,0.01,0.64
1291,[284  25  58  58],0.05,0.0,0.03,0.12,0.14,0.01,0.65
1292,[284  27  59  59],0.05,0.0,0.01,0.48,0.03,0.01,0.42
