,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[ 36 105 150 150],0.14,0.0,0.18,0.01,0.39,0.03,0.25
1,[ 36 107 151 151],0.12,0.0,0.24,0.01,0.33,0.05,0.25
2,[ 37 106 152 152],0.15,0.0,0.24,0.01,0.28,0.05,0.27
3,[ 36 107 151 151],0.17,0.0,0.22,0.01,0.35,0.05,0.2
4,[ 36 108 151 151],0.16,0.0,0.22,0.0,0.37,0.04,0.21
5,[ 34 106 154 154],0.21,0.0,0.24,0.01,0.31,0.07,0.16
6,[ 35 109 151 151],0.14,0.0,0.27,0.0,0.33,0.05,0.21
7,[ 33 108 152 152],0.17,0.0,0.24,0.0,0.36,0.04,0.18
8,[ 36 111 146 146],0.17,0.0,0.22,0.0,0.37,0.06,0.18
9,[ 35 110 147 147],0.16,0.0,0.2,0.0,0.37,0.05,0.22
10,[ 34 109 149 149],0.18,0.0,0.23,0.0,0.32,0.07,0.2
11,[ 35 109 148 148],0.16,0.0,0.21,0.01,0.21,0.12,0.3
12,[ 35 108 146 146],0.17,0.0,0.26,0.02,0.32,0.12,0.1
13,[ 33 108 150 150],0.13,0.0,0.22,0.02,0.25,0.25,0.13
14,[ 34 108 150 150],0.13,0.0,0.31,0.02,0.24,0.22,0.09
15,[ 37 107 154 154],0.21,0.0,0.17,0.01,0.36,0.08,0.17
16,[ 42 109 149 149],0.22,0.0,0.23,0.0,0.38,0.04,0.12
17,[ 40 107 156 156],0.31,0.0,0.22,0.0,0.29,0.08,0.09
18,[ 42 109 153 153],0.27,0.0,0.32,0.01,0.2,0.16,0.05
19,[ 40 108 158 158],0.26,0.0,0.27,0.02,0.11,0.29,0.04
20,[ 40 109 156 156],0.22,0.0,0.4,0.01,0.06,0.29,0.02
21,[ 38 110 154 154],0.2,0.0,0.52,0.0,0.06,0.21,0.01
22,[ 36 110 153 153],0.19,0.0,0.5,0.0,0.04,0.25,0.01
23,[ 33 108 155 155],0.28,0.0,0.46,0.0,0.06,0.18,0.01
24,[ 33 109 156 156],0.35,0.0,0.41,0.0,0.13,0.08,0.02
25,[ 32 109 156 156],0.4,0.0,0.33,0.01,0.19,0.03,0.04
26,[ 33 110 154 154],0.41,0.0,0.36,0.0,0.15,0.04,0.02
27,[ 33 110 155 155],0.42,0.0,0.28,0.0,0.22,0.04,0.04
28,[ 34 111 153 153],0.47,0.0,0.3,0.0,0.13,0.08,0.02
29,[ 33 110 155 155],0.52,0.0,0.26,0.0,0.12,0.07,0.03
30,[ 34 111 151 151],0.45,0.01,0.33,0.0,0.13,0.07,0.01
31,[ 32 111 154 154],0.53,0.0,0.24,0.01,0.12,0.07,0.03
32,[ 31 110 156 156],0.46,0.0,0.27,0.01,0.11,0.1,0.04
33,[ 28 109 158 158],0.41,0.0,0.31,0.01,0.12,0.13,0.02
34,[ 29 113 153 153],0.38,0.0,0.38,0.01,0.1,0.1,0.02
35,[ 28 112 156 156],0.5,0.0,0.25,0.02,0.09,0.11,0.03
36,[ 28 115 153 153],0.41,0.0,0.36,0.02,0.07,0.13,0.01
37,[ 29 114 152 152],0.27,0.0,0.49,0.01,0.11,0.12,0.01
38,[ 30 117 151 151],0.39,0.01,0.39,0.01,0.07,0.13,0.01
39,[ 30 116 154 154],0.35,0.0,0.36,0.03,0.12,0.11,0.02
40,[ 29 114 156 156],0.34,0.0,0.38,0.03,0.06,0.17,0.01
41,[ 30 111 156 156],0.32,0.0,0.47,0.01,0.06,0.14,0.01
42,[ 29 110 160 160],0.41,0.0,0.28,0.07,0.11,0.11,0.01
43,[ 28 109 161 161],0.32,0.0,0.46,0.03,0.1,0.07,0.01
44,[ 30 110 160 160],0.34,0.0,0.27,0.11,0.11,0.14,0.02
45,[ 31 110 159 159],0.26,0.0,0.39,0.06,0.1,0.18,0.02
46,[ 30 108 160 160],0.49,0.0,0.27,0.05,0.08,0.08,0.01
47,[ 33 111 154 154],0.24,0.0,0.39,0.07,0.09,0.2,0.01
48,[ 31 109 159 159],0.31,0.0,0.33,0.1,0.09,0.16,0.01
49,[ 30 108 159 159],0.51,0.0,0.25,0.04,0.06,0.13,0.01
