,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[204  43 165 165],0.41,0.0,0.05,0.27,0.1,0.0,0.17
1,[203  42 170 170],0.51,0.0,0.04,0.31,0.06,0.01,0.07
2,[203  42 170 170],0.52,0.0,0.04,0.3,0.06,0.01,0.08
3,[218  48 150 150],0.37,0.0,0.08,0.24,0.14,0.01,0.15
4,[219  44 152 152],0.48,0.0,0.09,0.2,0.14,0.02,0.08
5,[217  44 155 155],0.41,0.0,0.07,0.22,0.17,0.01,0.12
6,[220  45 151 151],0.4,0.0,0.09,0.24,0.16,0.01,0.1
7,[220  45 149 149],0.57,0.0,0.08,0.15,0.13,0.01,0.06
8,[222  46 149 149],0.44,0.0,0.09,0.17,0.21,0.01,0.07
9,[225  46 147 147],0.5,0.0,0.06,0.18,0.17,0.02,0.07
10,[443 203  60  60],0.32,0.01,0.15,0.04,0.36,0.01,0.11
11,[443 203  60  60],0.32,0.01,0.15,0.04,0.36,0.01,0.11
12,[325 143 107 107],0.35,0.09,0.04,0.02,0.4,0.0,0.1
13,[264 114 132 132],0.32,0.02,0.03,0.03,0.32,0.0,0.28
14,[264 114 132 132],0.32,0.02,0.03,0.03,0.32,0.0,0.28
15,[251 104 140 140],0.27,0.06,0.07,0.02,0.38,0.0,0.2
16,[251 104 139 139],0.25,0.06,0.07,0.03,0.33,0.01,0.26
17,[249 102 141 141],0.22,0.03,0.05,0.15,0.31,0.03,0.22
18,[248 101 143 143],0.23,0.06,0.05,0.16,0.33,0.02,0.14
19,[249 102 141 141],0.3,0.04,0.05,0.09,0.3,0.03,0.19
20,[257 106 131 131],0.2,0.01,0.03,0.1,0.24,0.0,0.43
21,[256 104 134 134],0.21,0.01,0.02,0.12,0.19,0.0,0.44
22,[255 103 137 137],0.02,0.0,0.01,0.8,0.03,0.01,0.14
23,[255 103 137 137],0.02,0.0,0.01,0.81,0.03,0.01,0.13
24,[254 103 139 139],0.07,0.0,0.01,0.84,0.02,0.01,0.05
25,[254 102 140 140],0.03,0.0,0.0,0.92,0.01,0.01,0.03
26,[253 102 141 141],0.02,0.0,0.0,0.94,0.01,0.0,0.02
27,[255 107 134 134],0.04,0.0,0.01,0.87,0.02,0.0,0.06
28,[255 107 135 135],0.03,0.0,0.01,0.87,0.03,0.0,0.06
29,[256 108 133 133],0.07,0.01,0.01,0.68,0.08,0.01,0.13
30,[256 108 134 134],0.03,0.0,0.01,0.8,0.05,0.0,0.1
31,[255 107 136 136],0.04,0.01,0.01,0.7,0.07,0.0,0.17
32,[254 107 136 136],0.07,0.01,0.02,0.61,0.09,0.0,0.2
33,[255 108 135 135],0.09,0.02,0.01,0.46,0.1,0.0,0.33
34,[249 110 134 134],0.04,0.01,0.02,0.75,0.03,0.0,0.15
35,[250 111 133 133],0.07,0.02,0.03,0.54,0.05,0.0,0.29
36,[245 113 133 133],0.03,0.01,0.01,0.75,0.02,0.0,0.18
37,[245 113 133 133],0.03,0.01,0.01,0.75,0.02,0.0,0.18
38,[244 113 134 134],0.04,0.02,0.01,0.56,0.06,0.0,0.3
39,[244 113 134 134],0.05,0.01,0.01,0.54,0.07,0.0,0.3
40,[243 113 134 134],0.06,0.01,0.02,0.38,0.15,0.01,0.38
41,[243 113 134 134],0.06,0.01,0.02,0.38,0.15,0.01,0.38
42,[242 114 133 133],0.06,0.0,0.02,0.43,0.09,0.01,0.39
43,[243 115 132 132],0.03,0.0,0.01,0.57,0.06,0.0,0.32
44,[243 116 131 131],0.05,0.01,0.02,0.41,0.09,0.0,0.43
45,[244 115 133 133],0.03,0.0,0.01,0.62,0.06,0.01,0.27
46,[244 115 133 133],0.03,0.0,0.01,0.69,0.05,0.01,0.21
47,[246 115 133 133],0.04,0.0,0.01,0.64,0.05,0.0,0.25
48,[246 115 133 133],0.03,0.0,0.01,0.65,0.05,0.0,0.24
49,[249 112 134 134],0.01,0.0,0.01,0.85,0.02,0.0,0.11
50,[250 113 133 133],0.03,0.01,0.01,0.75,0.04,0.0,0.16
51,[252 111 132 132],0.06,0.0,0.01,0.7,0.02,0.0,0.2
52,[255 108 133 133],0.04,0.01,0.0,0.79,0.02,0.0,0.15
53,[255 108 133 133],0.04,0.01,0.0,0.79,0.02,0.0,0.15
54,[256 108 134 134],0.02,0.0,0.0,0.9,0.01,0.0,0.07
55,[257 108 133 133],0.01,0.0,0.0,0.92,0.0,0.0,0.06
56,[259 106 132 132],0.01,0.0,0.0,0.91,0.0,0.0,0.08
57,[259 105 133 133],0.01,0.0,0.0,0.93,0.0,0.0,0.05
58,[261 104 132 132],0.02,0.0,0.0,0.91,0.01,0.0,0.05
59,[260 103 133 133],0.01,0.0,0.0,0.93,0.01,0.0,0.04
60,[260 104 133 133],0.02,0.0,0.0,0.91,0.01,0.0,0.06
61,[260 104 133 133],0.02,0.0,0.0,0.9,0.01,0.0,0.07
62,[261 104 132 132],0.01,0.0,0.0,0.92,0.01,0.0,0.05
63,[262 103 132 132],0.01,0.0,0.0,0.95,0.01,0.0,0.04
64,[261 103 133 133],0.01,0.0,0.0,0.89,0.01,0.0,0.09
65,[263 103 131 131],0.01,0.0,0.0,0.94,0.01,0.0,0.05
66,[264 104 130 130],0.01,0.0,0.0,0.93,0.0,0.0,0.05
67,[263 103 130 130],0.01,0.0,0.0,0.96,0.0,0.0,0.03
68,[263 104 130 130],0.01,0.0,0.0,0.94,0.0,0.0,0.05
69,[263 104 130 130],0.01,0.0,0.0,0.94,0.0,0.0,0.05
70,[261 102 134 134],0.03,0.0,0.0,0.83,0.01,0.0,0.13
71,[262 102 134 134],0.02,0.0,0.0,0.87,0.01,0.0,0.1
72,[264 103 130 130],0.01,0.0,0.0,0.93,0.01,0.0,0.05
73,[263 102 131 131],0.0,0.0,0.0,0.94,0.0,0.0,0.05
74,[263 103 130 130],0.01,0.0,0.0,0.92,0.01,0.0,0.05
75,[264 103 130 130],0.01,0.0,0.0,0.94,0.01,0.0,0.04
76,[264 104 129 129],0.01,0.0,0.0,0.94,0.01,0.0,0.04
77,[264 104 130 130],0.02,0.0,0.0,0.86,0.01,0.0,0.1
78,[265 104 129 129],0.01,0.0,0.0,0.91,0.01,0.0,0.07
79,[265 104 129 129],0.01,0.0,0.0,0.88,0.02,0.0,0.08
80,[264 103 129 129],0.01,0.0,0.0,0.88,0.01,0.0,0.09
81,[265 103 129 129],0.01,0.0,0.0,0.88,0.02,0.0,0.09
82,[264 105 129 129],0.02,0.0,0.0,0.8,0.01,0.0,0.16
83,[264 105 129 129],0.02,0.0,0.0,0.8,0.01,0.0,0.16
84,[263 105 129 129],0.01,0.0,0.0,0.9,0.01,0.0,0.08
85,[262 105 130 130],0.02,0.0,0.0,0.91,0.01,0.0,0.06
86,[256 108 133 133],0.04,0.0,0.0,0.83,0.04,0.0,0.08
87,[252 116 130 130],0.02,0.0,0.0,0.76,0.07,0.01,0.14
88,[251 115 132 132],0.02,0.0,0.0,0.76,0.07,0.01,0.14
89,[240 115 142 142],0.04,0.01,0.01,0.21,0.49,0.01,0.23
90,[238 114 145 145],0.04,0.01,0.02,0.25,0.51,0.02,0.16
91,[247 130 134 134],0.01,0.03,0.01,0.14,0.37,0.0,0.45
92,[249 131 132 132],0.01,0.01,0.01,0.07,0.38,0.0,0.51
93,[250 132 128 128],0.01,0.01,0.02,0.08,0.29,0.0,0.58
