,box,angry,disgust,fear,happy,sad,surprise,neutral
1481,[ 60  81 150 150],0.6,0.0,0.04,0.0,0.35,0.0,0.01
1482,[ 61  79 148 148],0.67,0.0,0.04,0.0,0.29,0.0,0.0
1483,[ 64  84 139 139],0.72,0.0,0.01,0.0,0.25,0.0,0.01
1484,[ 62  80 138 138],0.71,0.0,0.03,0.0,0.25,0.0,0.01
1485,[ 62  78 142 142],0.78,0.0,0.04,0.0,0.17,0.0,0.01
1486,[ 63  80 135 135],0.57,0.0,0.05,0.0,0.37,0.0,0.01
1487,[ 64  81 132 132],0.5,0.0,0.05,0.0,0.42,0.01,0.02
1488,[ 60  79 138 138],0.61,0.0,0.03,0.0,0.34,0.0,0.02
1489,[ 60  80 136 136],0.69,0.0,0.02,0.0,0.27,0.0,0.02
1490,[ 52  74 156 156],0.22,0.0,0.74,0.0,0.01,0.02,0.0
1491,[ 58  79 148 148],0.1,0.0,0.86,0.0,0.02,0.02,0.0
1492,[ 55  74 158 158],0.29,0.0,0.67,0.0,0.03,0.01,0.0
1493,[ 60  81 152 152],0.26,0.0,0.65,0.0,0.04,0.04,0.0
1494,[ 57  78 160 160],0.24,0.0,0.69,0.0,0.05,0.01,0.0
1495,[ 60  81 160 160],0.14,0.0,0.63,0.0,0.21,0.01,0.0
1496,[ 59  83 162 162],0.16,0.0,0.57,0.0,0.25,0.01,0.0
1497,[ 60  85 165 165],0.21,0.0,0.4,0.0,0.38,0.01,0.01
1498,[ 60  89 162 162],0.21,0.0,0.13,0.01,0.54,0.01,0.1
1499,[ 63  94 158 158],0.07,0.0,0.09,0.02,0.74,0.01,0.08
1500,[ 62  91 159 159],0.06,0.0,0.13,0.01,0.78,0.01,0.01
1501,[ 59  90 163 163],0.16,0.0,0.29,0.01,0.52,0.01,0.01
1502,[ 60  90 162 162],0.13,0.0,0.28,0.0,0.58,0.01,0.0
1503,[ 60  93 158 158],0.1,0.0,0.33,0.0,0.54,0.01,0.0
1504,[ 57  92 164 164],0.12,0.0,0.22,0.01,0.64,0.01,0.01
1505,[ 57  93 164 164],0.14,0.0,0.15,0.01,0.69,0.01,0.01
1506,[ 54  92 168 168],0.1,0.0,0.1,0.0,0.79,0.0,0.0
1507,[ 56  94 166 166],0.13,0.0,0.08,0.0,0.77,0.0,0.01
1508,[ 51  95 169 169],0.12,0.0,0.11,0.0,0.76,0.0,0.01
1509,[ 53 102 163 163],0.05,0.0,0.06,0.0,0.88,0.0,0.0
1510,[ 53 102 164 164],0.18,0.0,0.31,0.0,0.49,0.01,0.01
1511,[ 54 106 164 164],0.19,0.0,0.18,0.01,0.59,0.01,0.02
1512,[ 55 107 165 165],0.22,0.01,0.08,0.04,0.57,0.0,0.07
1513,[ 55 107 169 169],0.19,0.0,0.12,0.04,0.54,0.01,0.1
1514,[ 60 110 160 160],0.15,0.01,0.14,0.01,0.66,0.01,0.02
1515,[ 58 108 165 165],0.18,0.0,0.14,0.01,0.64,0.01,0.01
1516,[ 59 112 161 161],0.15,0.0,0.16,0.0,0.65,0.01,0.03
1517,[ 59 111 161 161],0.27,0.0,0.42,0.0,0.24,0.02,0.05
1518,[ 59 112 160 160],0.35,0.0,0.26,0.0,0.26,0.01,0.12
1519,[ 60 113 160 160],0.34,0.01,0.36,0.0,0.21,0.02,0.07
1520,[ 58 112 163 163],0.37,0.0,0.33,0.0,0.21,0.01,0.07
1521,[ 57 111 162 162],0.39,0.0,0.21,0.0,0.21,0.02,0.15
1522,[ 58 111 163 163],0.36,0.0,0.33,0.0,0.15,0.04,0.12
1523,[ 61 113 157 157],0.29,0.01,0.38,0.0,0.19,0.05,0.07
1524,[ 61 113 159 159],0.26,0.01,0.38,0.0,0.3,0.02,0.03
1525,[ 62 113 161 161],0.27,0.0,0.42,0.0,0.25,0.02,0.03
1526,[ 63 110 159 159],0.25,0.02,0.26,0.0,0.42,0.02,0.03
1527,[ 64 111 158 158],0.26,0.02,0.34,0.0,0.34,0.02,0.02
1528,[ 61 108 161 161],0.23,0.01,0.31,0.0,0.39,0.02,0.03
1529,[ 62 110 158 158],0.22,0.0,0.25,0.01,0.41,0.04,0.08
1530,[ 62 109 159 159],0.19,0.0,0.23,0.02,0.45,0.04,0.08
1531,[ 61 109 157 157],0.18,0.0,0.2,0.02,0.45,0.05,0.09
1532,[ 59 108 159 159],0.19,0.0,0.19,0.01,0.47,0.03,0.1
1533,[ 61 107 157 157],0.18,0.0,0.25,0.04,0.36,0.06,0.11
1534,[ 59 104 160 160],0.13,0.0,0.16,0.01,0.64,0.01,0.04
1535,[ 58 103 162 162],0.12,0.0,0.23,0.01,0.59,0.02,0.03
1536,[ 61 105 160 160],0.13,0.0,0.31,0.01,0.48,0.04,0.03
1537,[ 63 108 156 156],0.15,0.0,0.29,0.01,0.47,0.05,0.03
1538,[ 62 106 160 160],0.16,0.0,0.4,0.0,0.35,0.06,0.03
1539,[ 65 106 157 157],0.17,0.01,0.39,0.0,0.37,0.03,0.02
1540,[ 70 107 151 151],0.08,0.02,0.38,0.0,0.45,0.05,0.02
1541,[ 68 103 156 156],0.08,0.01,0.55,0.0,0.27,0.07,0.01
1542,[ 70 102 154 154],0.08,0.01,0.66,0.0,0.17,0.07,0.01
1543,[ 75 105 147 147],0.09,0.03,0.35,0.0,0.06,0.46,0.01
1544,[ 74 103 153 153],0.23,0.0,0.43,0.0,0.15,0.17,0.01
1545,[ 78 105 148 148],0.1,0.02,0.77,0.0,0.05,0.05,0.0
1546,[ 83 104 142 142],0.12,0.02,0.81,0.0,0.03,0.02,0.0
1547,[ 86 102 141 141],0.13,0.01,0.76,0.0,0.06,0.04,0.0
1548,[ 86  95 143 143],0.07,0.01,0.6,0.0,0.08,0.23,0.01
1549,[ 90 100 134 134],0.04,0.0,0.75,0.0,0.12,0.06,0.01
1550,[103 104 110 110],0.03,0.0,0.36,0.03,0.49,0.04,0.06
1551,[ 70 108 129 129],0.08,0.0,0.29,0.0,0.34,0.23,0.05
1552,[ 68 106 130 130],0.11,0.0,0.32,0.0,0.25,0.28,0.04
1553,[ 60 103 145 145],0.06,0.0,0.22,0.0,0.03,0.68,0.01
1554,[ 58 103 147 147],0.04,0.0,0.44,0.0,0.06,0.44,0.01
1555,[ 57 102 149 149],0.02,0.0,0.63,0.0,0.08,0.27,0.01
1556,[ 59 103 147 147],0.07,0.0,0.62,0.0,0.15,0.14,0.01
1557,[ 56 103 151 151],0.21,0.0,0.33,0.0,0.33,0.08,0.04
1558,[ 54 101 155 155],0.2,0.0,0.43,0.0,0.29,0.03,0.05
1559,[ 54 101 154 154],0.27,0.0,0.41,0.0,0.26,0.02,0.03
1560,[ 56 101 152 152],0.47,0.01,0.23,0.0,0.26,0.02,0.02
1561,[ 55 101 156 156],0.44,0.0,0.3,0.0,0.22,0.02,0.01
1562,[ 57 104 153 153],0.51,0.0,0.23,0.0,0.24,0.01,0.01
1563,[ 56 107 155 155],0.47,0.0,0.29,0.0,0.21,0.02,0.01
1564,[ 55 110 161 161],0.36,0.0,0.37,0.0,0.23,0.03,0.01
1565,[ 54 111 165 165],0.14,0.0,0.41,0.0,0.4,0.02,0.03
1566,[ 56 112 164 164],0.1,0.0,0.44,0.0,0.41,0.01,0.03
1567,[ 52 108 166 166],0.11,0.0,0.33,0.01,0.49,0.01,0.06
1568,[ 53 110 162 162],0.14,0.0,0.22,0.01,0.58,0.02,0.04
1569,[ 52 109 159 159],0.14,0.0,0.14,0.01,0.64,0.03,0.05
1570,[ 50 106 160 160],0.11,0.0,0.26,0.0,0.54,0.04,0.04
1571,[ 48 103 160 160],0.11,0.0,0.14,0.0,0.7,0.01,0.02
1572,[ 48 107 157 157],0.04,0.0,0.21,0.0,0.71,0.02,0.02
1573,[ 48 108 159 159],0.07,0.0,0.3,0.01,0.5,0.03,0.08
1574,[ 47 108 161 161],0.06,0.0,0.31,0.0,0.55,0.04,0.04
1575,[ 46 109 160 160],0.11,0.0,0.25,0.0,0.56,0.04,0.05
1576,[ 45 106 163 163],0.08,0.0,0.26,0.0,0.58,0.02,0.06
1577,[ 46 107 157 157],0.05,0.0,0.23,0.0,0.61,0.02,0.1
1578,[ 44 106 159 159],0.08,0.0,0.19,0.0,0.64,0.01,0.08
1579,[ 46 106 158 158],0.06,0.0,0.2,0.0,0.67,0.01,0.06
1580,[ 46 108 158 158],0.08,0.0,0.28,0.0,0.58,0.02,0.04
1581,[ 46 108 157 157],0.06,0.0,0.25,0.0,0.58,0.02,0.1
1582,[ 45 109 159 159],0.07,0.0,0.16,0.01,0.61,0.01,0.14
1583,[ 45 108 159 159],0.09,0.0,0.18,0.0,0.62,0.02,0.09
1584,[ 44 106 164 164],0.07,0.0,0.19,0.0,0.71,0.01,0.03
1585,[ 45 106 162 162],0.05,0.0,0.25,0.0,0.66,0.02,0.02
1586,[ 44 106 161 161],0.06,0.0,0.19,0.0,0.71,0.01,0.02
1587,[ 45 109 159 159],0.08,0.0,0.26,0.0,0.6,0.02,0.04
1588,[ 44 107 163 163],0.06,0.0,0.12,0.01,0.71,0.0,0.09
1589,[ 43 106 167 167],0.12,0.0,0.25,0.0,0.59,0.01,0.03
1590,[ 45 106 162 162],0.06,0.0,0.13,0.0,0.75,0.0,0.04
1591,[ 44 105 164 164],0.07,0.0,0.16,0.0,0.72,0.01,0.05
1592,[ 46 106 160 160],0.07,0.0,0.14,0.0,0.66,0.01,0.13
1593,[ 47 108 159 159],0.08,0.0,0.14,0.0,0.7,0.01,0.06
1594,[ 49 109 155 155],0.1,0.0,0.21,0.0,0.62,0.01,0.05
1595,[ 46 107 159 159],0.18,0.0,0.33,0.0,0.39,0.02,0.07
1596,[ 44 105 161 161],0.26,0.0,0.26,0.0,0.39,0.02,0.06
1597,[ 45 106 161 161],0.14,0.0,0.35,0.0,0.4,0.06,0.06
1598,[ 42 105 164 164],0.12,0.0,0.33,0.0,0.51,0.01,0.02
1599,[ 43 105 166 166],0.17,0.01,0.22,0.0,0.51,0.01,0.09
1600,[ 39 103 172 172],0.09,0.0,0.43,0.0,0.4,0.02,0.06
1601,[ 41 105 168 168],0.18,0.0,0.35,0.0,0.38,0.02,0.06
1602,[ 42 106 166 166],0.11,0.0,0.35,0.0,0.44,0.03,0.06
1603,[ 41 104 169 169],0.2,0.01,0.28,0.0,0.37,0.02,0.12
1604,[ 44 106 162 162],0.12,0.0,0.28,0.0,0.47,0.03,0.1
1605,[ 43 106 163 163],0.22,0.0,0.24,0.0,0.39,0.01,0.12
1606,[ 45 107 160 160],0.15,0.0,0.18,0.0,0.52,0.01,0.13
1607,[ 45 108 160 160],0.07,0.0,0.17,0.0,0.7,0.01,0.06
1608,[ 42 107 165 165],0.14,0.0,0.48,0.0,0.31,0.05,0.03
1609,[ 42 105 165 165],0.17,0.0,0.3,0.0,0.42,0.05,0.06
1610,[ 42 105 165 165],0.21,0.0,0.24,0.0,0.46,0.02,0.07
1611,[ 41 104 168 168],0.16,0.0,0.27,0.01,0.41,0.03,0.12
1612,[ 41 104 168 168],0.12,0.0,0.16,0.01,0.43,0.01,0.29
1613,[ 44 107 162 162],0.09,0.0,0.14,0.0,0.6,0.01,0.15
1614,[ 43 106 165 165],0.15,0.0,0.03,0.01,0.41,0.0,0.4
1615,[ 41 107 168 168],0.16,0.0,0.03,0.0,0.54,0.0,0.27
1616,[ 45 109 161 161],0.11,0.0,0.05,0.01,0.51,0.0,0.32
1617,[ 45 108 161 161],0.12,0.0,0.02,0.0,0.39,0.0,0.46
1618,[ 41 106 166 166],0.09,0.0,0.08,0.0,0.48,0.0,0.35
1619,[ 44 107 164 164],0.12,0.0,0.06,0.01,0.41,0.0,0.41
1620,[ 45 108 162 162],0.1,0.0,0.08,0.01,0.48,0.0,0.33
1621,[ 44 107 165 165],0.09,0.0,0.07,0.01,0.45,0.0,0.37
1622,[ 42 106 168 168],0.07,0.0,0.07,0.01,0.57,0.0,0.28
1623,[ 44 107 166 166],0.1,0.0,0.11,0.0,0.66,0.0,0.12
1624,[ 42 106 169 169],0.05,0.0,0.06,0.0,0.67,0.0,0.22
1625,[ 45 108 165 165],0.09,0.0,0.08,0.0,0.69,0.0,0.13
1626,[ 44 108 166 166],0.05,0.0,0.06,0.0,0.67,0.0,0.22
1627,[ 47 109 163 163],0.14,0.0,0.07,0.0,0.64,0.0,0.15
1628,[ 45 107 168 168],0.06,0.0,0.08,0.0,0.74,0.0,0.12
1629,[ 49 109 160 160],0.2,0.0,0.15,0.0,0.47,0.0,0.17
1630,[ 49 108 162 162],0.25,0.0,0.1,0.01,0.35,0.0,0.29
1631,[ 51 110 157 157],0.11,0.0,0.07,0.01,0.58,0.0,0.23
1632,[ 51 109 159 159],0.16,0.0,0.1,0.01,0.49,0.01,0.24
1633,[ 51 109 160 160],0.24,0.0,0.12,0.0,0.44,0.0,0.2
1634,[ 52 110 157 157],0.13,0.0,0.08,0.01,0.54,0.0,0.24
1635,[ 52 111 156 156],0.13,0.0,0.07,0.01,0.55,0.0,0.25
1636,[ 52 110 157 157],0.16,0.0,0.1,0.01,0.48,0.0,0.25
1637,[ 48 107 163 163],0.11,0.0,0.08,0.0,0.68,0.0,0.12
1638,[ 46 105 169 169],0.05,0.0,0.07,0.0,0.86,0.0,0.02
1639,[ 48 106 169 169],0.09,0.01,0.27,0.0,0.59,0.01,0.02
1640,[ 53 107 161 161],0.16,0.06,0.21,0.0,0.55,0.0,0.02
1641,[ 57 107 157 157],0.22,0.08,0.33,0.0,0.35,0.01,0.02
1642,[ 59 105 157 157],0.27,0.03,0.27,0.0,0.41,0.01,0.02
1643,[ 59 102 159 159],0.23,0.01,0.4,0.0,0.3,0.02,0.03
1644,[ 64 103 151 151],0.31,0.02,0.38,0.0,0.25,0.01,0.02
1645,[ 66 102 149 149],0.33,0.02,0.32,0.0,0.31,0.01,0.01
1646,[ 67  97 153 153],0.27,0.02,0.57,0.0,0.11,0.01,0.01
1647,[ 70  97 151 151],0.33,0.01,0.54,0.0,0.08,0.03,0.01
1648,[ 71  96 149 149],0.11,0.02,0.57,0.0,0.13,0.14,0.03
1649,[ 75  98 145 145],0.12,0.0,0.62,0.0,0.05,0.13,0.07
1650,[ 68  92 162 162],0.07,0.0,0.6,0.0,0.1,0.19,0.04
1651,[ 70  94 157 157],0.06,0.0,0.74,0.0,0.06,0.11,0.02
1652,[122 163  79  79],0.13,0.02,0.07,0.3,0.33,0.12,0.02
1653,[122 164  76  76],0.12,0.02,0.06,0.35,0.25,0.18,0.02
1654,[122 165  74  74],0.07,0.01,0.03,0.64,0.11,0.1,0.02
1655,[117 163  76  76],0.13,0.06,0.06,0.16,0.37,0.18,0.03
1656,[ 65  92 158 158],0.24,0.03,0.48,0.0,0.19,0.01,0.05
1657,[ 59  91 163 163],0.27,0.01,0.38,0.01,0.22,0.02,0.11
1658,[ 59  90 160 160],0.31,0.07,0.29,0.0,0.29,0.01,0.03
1659,[ 56  88 161 161],0.28,0.01,0.21,0.0,0.43,0.0,0.06
1660,[ 50  86 168 168],0.38,0.01,0.24,0.0,0.31,0.01,0.06
1661,[ 50  93 162 162],0.27,0.03,0.25,0.0,0.43,0.02,0.01
1662,[ 45  92 172 172],0.41,0.04,0.31,0.0,0.23,0.01,0.01
1663,[ 37  91 183 183],0.12,0.0,0.41,0.0,0.39,0.03,0.04
1664,[ 39  93 180 180],0.07,0.0,0.58,0.0,0.27,0.04,0.04
1665,[ 42  93 177 177],0.08,0.0,0.55,0.0,0.28,0.06,0.03
1666,[ 42  94 170 170],0.17,0.0,0.31,0.0,0.27,0.1,0.16
1667,[ 41  96 168 168],0.12,0.0,0.44,0.0,0.25,0.08,0.11
1668,[ 42  99 166 166],0.1,0.0,0.55,0.0,0.18,0.13,0.04
1669,[ 42 100 167 167],0.13,0.0,0.52,0.0,0.22,0.08,0.06
1670,[ 40  99 169 169],0.09,0.0,0.57,0.0,0.2,0.05,0.08
1671,[ 44 102 165 165],0.12,0.0,0.5,0.0,0.21,0.09,0.07
1672,[ 41  98 171 171],0.17,0.0,0.51,0.0,0.17,0.06,0.09
1673,[ 37  95 179 179],0.2,0.0,0.33,0.0,0.23,0.09,0.15
1674,[ 34  95 180 180],0.21,0.0,0.37,0.0,0.29,0.06,0.07
1675,[ 35  94 181 181],0.33,0.0,0.28,0.0,0.23,0.05,0.1
1676,[ 34  93 181 181],0.23,0.0,0.31,0.0,0.29,0.08,0.09
