,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[140 119  57  57],0.45,0.0,0.07,0.02,0.1,0.07,0.3
1,[140 119  57  57],0.47,0.0,0.06,0.02,0.09,0.07,0.28
2,[140 119  59  59],0.33,0.0,0.06,0.06,0.12,0.23,0.21
3,[139 119  59  59],0.44,0.0,0.06,0.02,0.12,0.12,0.25
4,[140 119  58  58],0.21,0.0,0.06,0.05,0.16,0.1,0.41
5,[140 119  58  58],0.24,0.0,0.05,0.07,0.13,0.15,0.37
6,[139 119  57  57],0.41,0.0,0.07,0.01,0.17,0.06,0.28
7,[139 118  60  60],0.27,0.0,0.08,0.06,0.29,0.07,0.24
8,[138 117  61  61],0.2,0.0,0.07,0.08,0.25,0.09,0.31
9,[139 118  60  60],0.18,0.0,0.06,0.1,0.25,0.1,0.32
10,[138 118  60  60],0.19,0.0,0.06,0.04,0.22,0.07,0.42
11,[139 118  59  59],0.32,0.0,0.04,0.03,0.21,0.03,0.37
12,[139 117  60  60],0.24,0.0,0.05,0.03,0.26,0.02,0.39
13,[139 117  59  59],0.25,0.0,0.07,0.02,0.26,0.02,0.38
14,[139 116  61  61],0.24,0.0,0.04,0.06,0.22,0.02,0.43
15,[140 116  60  60],0.15,0.0,0.03,0.04,0.23,0.02,0.53
16,[139 116  60  60],0.26,0.0,0.03,0.02,0.28,0.01,0.4
17,[140 115  60  60],0.15,0.0,0.03,0.06,0.19,0.03,0.54
18,[140 115  60  60],0.15,0.0,0.02,0.05,0.24,0.03,0.52
19,[141 116  59  59],0.26,0.0,0.02,0.03,0.16,0.05,0.47
20,[141 115  60  60],0.21,0.0,0.05,0.06,0.08,0.1,0.5
21,[141 116  59  59],0.27,0.0,0.03,0.04,0.08,0.1,0.47
22,[141 115  60  60],0.18,0.0,0.04,0.07,0.09,0.11,0.52
23,[141 115  59  59],0.21,0.0,0.06,0.06,0.09,0.12,0.47
24,[141 115  60  60],0.21,0.0,0.03,0.08,0.06,0.1,0.52
25,[141 115  59  59],0.19,0.0,0.05,0.06,0.07,0.11,0.51
26,[141 115  60  60],0.12,0.0,0.04,0.08,0.05,0.18,0.53
27,[141 114  60  60],0.1,0.0,0.06,0.11,0.07,0.23,0.43
28,[141 114  61  61],0.13,0.0,0.04,0.17,0.08,0.17,0.4
