id,name
524,SCAGLIUSI Emanuele
525,SCALFAROTTO Ivan
526,SCANU Lucia
529,SCHULLIAN Manfred
531,SCUTELLA' Elisa
537,SGARBI Vittorio
543,SILVESTRI Rachele
554,SPENA Maria
557,SPORTIELLO Gilda
561,SURIANO Simona
564,TARANTINO Leonardo
571,TESTAMENTO Rosa Alba
577,TONDO Renzo
578,TONELLI Gianni
579,TOPO Raffaele
585,TRIPODI Elisa
589,TUCCI Riccardo
613,VIVIANI Lorenzo
614,VIZZINI Gloria
615,VOLPI Leda
616,VOLPI Raffaele
621,ZANICHELLI Davide
624,ZENNARO Antonio
625,ZICCHIERI Francesco
629,ZORDAN Adolfo
635,AIROLA Alberto
638,ALFIERI Alessandro
646,BALBONI Alberto
651,BELLANOVA Teresa
653,BERGESIO Giorgio Maria
655,BERTACCO Stefano
664,BONGIORNO Giulia
678,CALIENDO Giacomo
9,ANDREUZZA Giorgia
10,ANGELUCCI Antonio
18,ASCARI Stefania
20,BADOLE Mirco
12,ANNIBALI Lucia
25,BARBUTO Elisabetta Maria
26,BARELLI Paolo
14,APREA Valentina
29,BARTOLOZZI Giusi
31,BATTELLI Sergio
32,BATTILOCCHIO Alessandro
39,BENAMATI Gianluca
37,BELLUCCI Maria Teresa
38,BELOTTI Daniele
19,AZZOLINA Lucia
43,BENVENUTO Alessandro Manuel
44,BERARDINI Fabio
24,BARATTO Raffaele
27,BARONI Anna Lisa
56,BITONCI Massimo
51,BIGNAMI Galeazzo
59,BOLDRINI Laura
53,BILOTTI Anna
54,BINELLI Diego
61,BONAFEDE Alfonso
64,BONOMO Francesca
33,BAZOLI Alfredo
60,BOLOGNA Fabiola
71,BRAGA Chiara
74,BRUNETTA Renato
82,CABRAS Pino
77,BUCALO Carmela
79,BUOMPANE Giuseppe
42,BENIGNI Stefano
81,BUTTI Alessio
85,CAIATA Salvatore
96,CAPARVI Virginio
87,CAMPANA Micaela
98,CAPPELLACCI Ugo
45,BERGAMINI Deborah
91,CANTALAMESSA Gianluca
97,CAPITANIO Massimiliano
94,CANTONE Luciano
108,CARNEVALI Elena
50,BIANCOFIORE Michaela
99,CAPPELLANI Santi
100,CARABETTA Luca
52,BILLI Simone
106,CARFAGNA Maria Rosaria
111,CASCIELLO Luigi
121,CATTOI Vanessa
122,CAVANDOLI Laura
115,CASSINELLI Roberto
55,BISA Ingrid
120,CATTOI Maurizio
138,COLLA Jari
142,COMAROLI Silvana Andreina
125,CECCONI Andrea
147,CORNELI Valentina
133,CIMINO Rosalba
156,CROSETTO Guido
65,BORDO Michele
168,D'ORSO Valentina
137,COLANINNO Matteo
169,D'UVA Francesco
146,CORDA Emanuela
66,BORDONALI Simona
152,CRIPPA Andrea
175,DE ANGELIS Sara
160,D'ALESSANDRO Camillo
157,CUBEDDU Sebastiano
166,D'INCA' Federico
193,DEL GROSSO Daniele
181,DE LORENZIS Diego
199,DELRIO Graziano
174,DARA Andrea
210,DONINA Giuseppe Cesare
